subset,gamma
"PL,Kbile,GFR,Kurine,Kreab",4075.751429888623
"PK,PL,Kbile,GFR,Kurine",4049.389263756497
"PRest,PK,Kbile,GFR,Kurine",3923.4971208342317
"PRest,PL,Kbile,Free,Vmax_baso",3654.6340377579327
"PRest,PL,Kbile,GFR,Kurine",3483.325391828359
"PRest,Kbile,Free,Vmax_baso,Km_baso",3407.0896830587626
"PRest,PK,Kbile,Free,Vmax_baso",3330.2322166258396
"PRest,PL,Free,Vmax_baso,Km_baso",3321.036146220931
"PRest,PK,PL,Free,Vmax_baso",3190.3805803735536
"PRest,PL,Kbile,GFR,Vmax_baso",3176.9176132881003
"PRest,PK,Free,Vmax_baso,Km_baso",3112.2231138337174
"PRest,Kbile,GFR,Vmax_baso,Km_baso",2929.9664187275266
"PRest,PL,GFR,Km_baso,Kreab",2894.788993588706
"PRest,PK,Kbile,GFR,Vmax_baso",2861.459563375679
"PL,Kbile,GFR,Km_baso,Kreab",2856.30579763127
"PK,PL,GFR,Km_baso,Kreab",2838.174693148737
"PRest,Kbile,GFR,Km_baso,Kreab",2825.7617938246008
"PRest,PL,GFR,Vmax_baso,Km_baso",2814.9582820862365
"PK,Kbile,GFR,Km_baso,Kreab",2792.8056612261603
"PRest,PK,PL,Kbile,Vmax_baso",2762.2270511524657
"PRest,PK,PL,GFR,Vmax_baso",2701.868305112802
"PRest,PL,Kbile,Vmax_baso,Km_baso",2670.346760176114
"PL,Kbile,Free,Vmax_baso,Km_baso",2648.0856069963247
"PRest,PL,Free,Km_baso,Kreab",2634.363395830278
"PRest,PK,GFR,Vmax_baso,Km_baso",2596.286759672795
"PRest,PK,Kbile,Vmax_baso,Km_baso",2591.8935675865205
"PK,PL,Free,Km_baso,Kreab",2586.219373767708
"PK,Kbile,Free,Km_baso,Kreab",2583.9168971813706
"PK,PL,Kbile,Free,Vmax_baso",2578.128005217424
"PRest,Kbile,Free,Km_baso,Kreab",2572.1013537789026
"PL,Kbile,Free,Km_baso,Kreab",2546.782960855283
"PRest,PK,Kbile,Km_baso,Kreab",2405.330938473577
"PRest,PK,PL,Vmax_baso,Km_baso",2390.848029277101
"PRest,PK,PL,Km_baso,Kreab",2386.1397922867422
"PK,Kbile,Free,Vmax_baso,Km_baso",2335.025746202843
"PK,PL,Kbile,Km_baso,Kreab",2305.8823489192328
"PRest,PL,Kbile,Km_baso,Kreab",2184.845009526099
"PK,PL,Free,Vmax_baso,Km_baso",2111.802957096128
"PRest,PK,GFR,Km_baso,Kreab",1940.5692870833823
"PRest,PK,Free,Km_baso,Kreab",1850.088983392978
"PL,Kbile,GFR,Vmax_baso,Km_baso",1849.0707171523586
"PRest,PK,PL,GFR,Kreab",1827.7384950940193
"PK,PL,Kbile,GFR,Vmax_baso",1799.2958675187126
"PK,PL,Kbile,GFR,Kreab",1798.6703756601055
"PRest,PK,Kbile,GFR,Kreab",1767.8444350834836
"PK,PL,Kbile,Kurine,Kreab",1718.5141750683754
"PL,Kbile,Free,Kurine,Kreab",1604.7258054150361
"PRest,PL,Kbile,Kurine,Kreab",1583.7951030829324
"PK,PL,Kbile,Vmax_baso,Km_baso",1570.354810959744
